城市,区域,公司全名,公司简称,公司规模,融资阶段,职位名称,工资,工作经验,学历要求,职位福利,行业,发布时间
北京,朝阳区,马上消费金融股份有限公司,马上金融,2000人以上,不需要融资,数据分析师,13k-19k,1-3年,不限,晋升空间 牛人团队 年底奖金,"金融,移动互联网",2019/8/12 16:15
北京,朝阳区,北京动因体育科技有限公司,动因体育,2000人以上,不需要融资,数据分析专家(J10072),30k-40k,5-10年,本科,平台大，发展前景好,体育,2019/8/14 11:33
北京,朝阳区,瑞庭网络技术（上海）有限公司,安居客,500-2000人,上市公司,数据分析经理(J12216),20k-30k,5-10年,本科,六险一金、补充医疗,移动互联网,2019/8/14 9:58
北京,朝阳区,北京大米未来科技有限公司,VIPKID,2000人以上,D轮及以上,数据分析师,15k-30k,3-5年,本科,"六险一金,弹性工作,14薪,班车",教育,2019/7/29 13:58
北京,朝阳区,北京陌陌科技有限公司,陌陌,500-2000人,上市公司,数据分析师（产品）,18k-35k,1-3年,本科,核心团队,社交,2019/7/17 17:21
北京,朝阳区,贵阳高登世德金融科技有限公司,高登世德金融科技,50-150人,A轮,数据分析师（北京）,8k-15k,1-3年,本科,"五险一金 ,扁平管理,周末双休,专业培训","金融,数据服务",2019/8/9 17:09
北京,朝阳区,马上消费金融股份有限公司,马上金融,2000人以上,不需要融资,数据分析师,15k-30k,1-3年,本科,消费金融牌照 核心数据风控 年终奖,"金融,移动互联网",2019/8/5 11:36
北京,朝阳区,北京陌陌科技有限公司,陌陌,500-2000人,上市公司,【2020校招】数据分析师,10k-20k,应届毕业生,本科,福利待遇好，发展前景好,社交,2019/7/24 16:45
北京,朝阳区,北京多氪信息科技有限公司,36氪,500-2000人,D轮及以上,数据分析实习生,2k-4k,不限,不限,扁平化管理,"移动互联网,电商",2019/8/12 15:57
北京,朝阳区,北京中清龙图网络技术有限公司,龙图游戏,500-2000人,不需要融资,数据分析总监,22k-30k,5-10年,本科,发展前景、职位发展,游戏,2019/8/5 11:12
北京,朝阳区,北京三快在线科技有限公司,美团点评,2000人以上,上市公司,数据分析--风控,11k-22k,3-5年,本科,大平台，绩效奖金，年终奖金,消费生活,2019/8/14 9:58
北京,朝阳区,北京大米未来科技有限公司,VIPKID,2000人以上,D轮及以上,数据分析Leader,35k-45k,5-10年,本科,"公司平台好,大牛领导,餐补房补",教育,2019/8/12 20:41
北京,朝阳区,北京每日优鲜电子商务有限公司,每日优鲜,2000人以上,D轮及以上,数据分析师,18k-35k,3-5年,本科,扁平化管理 福利待遇高,"移动互联网,电商",2019/8/5 10:18
北京,朝阳区,安彼迎信息科技（北京）有限公司,Airbnb,2000人以上,D轮及以上,数据科学家 - 数据分析方向,30k-50k,5-10年,本科,"硅谷独角兽,独角兽,纯英文办公",移动互联网,2019/7/31 14:59
北京,朝阳区,北京快看世界信息技术有限公司,快看漫画,150-500人,D轮及以上,数据分析师,15k-30k,1-3年,不限,零食水果 免费晚餐 发展空间大,文娱丨内容,2019/8/8 10:02
北京,朝阳区,北京百乘金科科技有限公司,百乘金科集团,2000人以上,上市公司,数据分析师,20k-35k,3-5年,本科,"地铁周边,节日福利,年终奖金,晋升空间",金融,2019/7/25 9:44
北京,朝阳区,玖富数科科技集团有限责任公司,玖富数科集团,2000人以上,D轮及以上,数据分析师,8k-13k,1-3年,本科,双休 弹性打卡,金融,2019/7/29 12:17
北京,朝阳区,发现时空（北京）信息技术有限公司,发现旅行,50-150人,B轮,数据分析总监,50k-80k,5-10年,本科,扁平化管理，氛围超好，地位重要，待遇优厚,旅游,2019/8/14 15:24
北京,朝阳区,北京亿心宜行汽车技术开发服务有限公司,e代驾,500-2000人,D轮及以上,运营经理-用户运营/数据分析,15k-25k,1-3年,本科,五险一金、补充医疗、高额餐补、高额奖金,"移动互联网,消费生活",2019/8/13 11:24
北京,朝阳区,瑞庭网络技术（上海）有限公司,安居客,500-2000人,上市公司,数据分析师,15k-25k,3-5年,本科,行业领先 六险一金,移动互联网,2019/8/8 11:17
北京,朝阳区,北京链家房地产经纪有限公司,北京链家,2000人以上,不需要融资,数据分析师,13k-20k,1-3年,本科,"时间灵活,领导好,工作环境好,氛围轻松",房产家居,2019/7/24 11:34
北京,朝阳区,北京大米未来科技有限公司,VIPKID,2000人以上,D轮及以上,数据分析经理（用户）,15k-30k,5-10年,本科,"平台大,氛围轻松,弹性工作",教育,2019/7/19 11:32
北京,朝阳区,北京积沙成塔科技有限公司,小帮规划,150-500人,B轮,数据分析师,18k-25k,1-3年,本科,整体业务运营数据分析体系,"移动互联网,金融",2019/8/2 15:34
